from,to
1,2
1,8
1,12
1,14
1,15
1,17
1,19
1,29
1,32
1,33
1,36
1,37
1,39
1,44
1,49
1,56
1,58
1,59
1,66
2,37
3,27
4,5
4,51
4,55
6,54
6,62
7,41
8,15
8,40
8,57
9,34
9,35
9,38
9,39
9,50
9,60
10,35
10,39
11,20
11,23
11,40
11,48
11,57
12,37
13,30
13,46
14,28
14,33
14,40
14,61
14,63
15,21
15,28
15,40
15,57
15,61
16,54
16,67
17,37
17,40
18,42
19,37
19,40
19,52
19,53
20,32
20,48
20,58
21,22
21,28
21,61
23,40
23,57
24,48
25,54
26,40
26,48
26,52
26,53
29,32
29,40
29,45
29,56
29,57
30,44
30,47
30,61
31,40
31,57
31,58
31,68
32,40
32,52
32,56
32,57
32,58
32,63
33,40
33,63
34,50
34,60
35,39
35,51
36,37
37,39
37,40
37,44
37,49
37,59
37,66
38,50
38,60
39,51
39,59
40,45
40,48
40,58
40,65
40,68
43,64
44,46
44,47
44,61
45,57
45,58
45,65
46,47
47,61
48,52
48,53
50,60
52,58
54,62
54,67
57,58
57,65
58,63
58,65
